C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\004SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:34:40 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,3500.34,0.00,1450.06,400.00,1000.03,8001.80,1500.06,1400.06,500.01,3850.42,50.00,0.00,4200.51,2300.15,36037.35,0.00,50.00,850.02,2400.17,1250.05,250.00,22815.24,5200.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,850.02,200.00,5801.02,0.00,0.00,0.00,0.00,600.01,0.00,3850.48,500.01,0.00,0.00
2.0526,4000.44,0.00,1350.05,0.00,900.02,8201.89,1550.07,1200.04,200.00,5100.74,0.00,100.00,3700.39,1200.04,39645.20,0.00,0.00,500.01,2950.25,750.02,400.00,24567.67,4750.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,250.00,100.00,6451.27,0.00,0.00,0.00,0.00,1200.05,0.00,2550.21,450.01,0.00,0.00
3.0735,2250.14,0.00,1800.09,150.00,700.01,7401.54,1850.10,1800.09,500.01,4400.55,0.00,0.00,4500.58,1050.03,38642.95,0.00,50.00,300.00,2750.22,1000.03,350.00,21062.99,5550.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550.01,0.00,7151.56,0.00,0.00,0.00,0.00,600.01,0.00,4050.53,450.01,0.00,0.00
4.0950,3450.33,0.00,1750.08,200.00,1100.03,9602.60,1200.04,1600.07,500.01,4200.50,0.00,0.00,4100.48,1850.10,35786.84,0.00,150.00,750.02,1950.11,1150.04,100.00,25519.07,4050.48,0.00,0.00,0.00,100.00,0.00,50.00,0.00,350.00,1000.03,350.00,7001.49,0.00,0.00,0.00,0.00,800.02,0.00,2750.24,900.03,0.00,0.00
5.1159,3200.28,0.00,1100.03,50.00,850.02,8151.87,1900.10,1100.03,300.00,5350.82,50.00,0.00,3900.44,2100.13,32931.20,0.00,200.00,650.01,2300.15,1400.06,150.00,23616.33,4150.51,0.00,0.00,0.00,0.00,0.00,100.00,0.00,150.00,500.01,250.00,5901.06,50.00,0.00,0.00,50.00,600.01,0.00,2350.18,400.01,0.00,0.00
6.1379,3300.30,0.00,1700.08,50.00,700.01,8802.18,2200.14,1550.07,900.02,3900.43,0.00,0.00,4100.48,1850.10,38292.17,0.00,50.00,550.01,2600.20,950.03,200.00,23966.82,5350.84,0.00,50.00,0.00,0.00,0.00,0.00,0.00,100.00,650.01,100.00,6301.21,0.00,0.00,0.00,0.00,1250.05,0.00,3400.37,450.01,0.00,0.00
7.1588,3400.32,0.00,1550.07,250.00,450.01,8051.83,1200.04,1700.08,500.01,5100.74,50.00,0.00,3700.39,2450.17,38793.28,0.00,200.00,600.01,1400.06,750.02,250.00,23065.58,4000.47,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,200.00,7001.49,0.00,0.00,0.00,0.00,700.02,0.00,2500.20,500.01,0.00,0.00
8.1797,2850.22,0.00,2100.12,0.00,3950.44,8752.16,2000.11,3650.38,8802.21,23665.96,700.01,2650.20,5150.76,1600.07,37089.56,50.00,200.00,850.02,19060.52,1450.06,450.01,24767.96,4150.51,350.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,1550.07,5200.82,0.00,0.00,0.00,0.00,700.02,0.00,2650.23,500.01,0.00,0.00
9.2006,3450.33,0.00,1450.06,0.00,600.01,9352.46,1750.09,1800.09,350.00,4400.55,0.00,0.00,4500.58,1450.06,35536.32,0.00,0.00,650.01,1600.07,600.01,250.00,23265.85,4400.57,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,900.02,150.00,5650.97,50.00,0.00,0.00,0.00,1000.03,0.00,2700.24,550.01,0.00,0.00
10.2226,3100.27,0.00,1450.06,100.00,400.00,10002.82,1900.10,2000.11,300.00,4500.58,100.00,0.00,3850.43,1200.04,35836.94,0.00,0.00,700.01,1650.08,800.02,400.00,24467.53,3400.34,50.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,200.00,200.00,6401.25,0.00,0.00,0.00,0.00,750.02,0.00,2600.22,350.00,0.00,0.00
11.2435,2550.18,0.00,1700.08,100.00,1400.06,7851.74,1400.06,1450.06,200.00,3400.33,0.00,0.00,3300.31,1300.05,34584.40,100.00,50.00,400.00,1300.05,1150.04,500.01,22364.65,4800.68,0.00,0.00,0.00,0.00,0.00,0.00,100.00,200.00,700.01,250.00,6201.17,0.00,0.00,0.00,0.00,1050.04,0.00,2450.19,700.02,0.00,0.00
12.2650,3000.25,0.00,1650.08,250.00,900.02,7251.48,1350.05,1100.03,150.00,3450.34,0.00,0.00,4050.47,1850.10,37440.32,50.00,100.00,550.01,1450.06,900.02,350.00,24117.03,3650.39,50.00,0.00,0.00,0.00,0.00,0.00,200.00,50.00,550.01,100.00,6651.35,0.00,0.00,0.00,50.00,650.01,0.00,2850.26,800.02,0.00,0.00
13.2859,2950.24,0.00,1950.11,150.00,600.01,7201.46,1250.04,1500.06,550.01,4600.60,0.00,100.00,3650.38,1550.07,35887.05,0.00,50.00,350.00,1100.04,1100.04,150.00,21964.13,5300.82,0.00,50.00,0.00,0.00,0.00,50.00,100.00,100.00,750.02,150.00,6301.21,0.00,0.00,0.00,0.00,900.03,0.00,2850.26,300.00,0.00,0.00
14.3068,3350.31,0.00,1350.05,0.00,600.01,6401.15,1150.04,1150.04,150.00,4750.64,0.00,0.00,3600.37,2050.12,33983.22,50.00,0.00,450.01,2300.15,1500.07,400.00,24217.17,3850.43,100.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,350.00,150.00,6651.35,0.00,0.00,0.00,0.00,1100.04,0.00,2900.27,300.00,0.00,0.00
15.3288,2850.22,0.00,1900.10,50.00,1050.03,6801.30,1800.09,950.03,250.00,3900.43,0.00,0.00,3600.37,1150.04,35536.32,50.00,0.00,450.01,1550.07,1250.05,250.00,24417.46,5150.78,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,50.00,5400.89,0.00,0.00,0.00,0.00,800.02,0.00,3250.34,300.00,0.00,0.00
16.3497,2700.20,0.00,1150.04,250.00,800.02,6651.25,700.01,1700.08,300.00,4750.64,0.00,0.00,3400.33,1750.09,36187.67,100.00,50.00,300.00,1450.06,1350.05,200.00,22314.58,4750.66,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550.01,50.00,6251.19,0.00,0.00,0.00,50.00,350.00,0.00,3000.29,350.00,0.00,0.00
17.3706,3650.37,0.00,1400.05,200.00,700.01,8552.06,2000.11,1500.06,250.00,4800.66,0.00,0.00,3550.36,1250.04,35185.61,0.00,50.00,400.00,1050.03,1000.03,550.01,24567.67,3800.42,150.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,650.01,200.00,5951.08,0.00,0.00,0.00,50.00,650.01,0.00,2700.24,300.00,0.00,0.00
18.3916,3250.29,0.00,1400.05,150.00,650.01,8952.26,1600.07,1550.07,150.00,3850.42,0.00,0.00,4500.58,1400.06,35836.94,50.00,50.00,750.02,1050.03,1150.04,450.01,24968.25,4850.69,100.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,300.00,250.00,6351.23,0.00,0.00,0.00,0.00,1000.03,0.00,2700.24,450.01,0.00,0.00
19.4135,4000.44,0.00,1900.10,100.00,800.02,8301.94,1200.04,1450.06,300.00,4800.66,0.00,50.00,4200.51,1450.06,34784.80,0.00,0.00,450.01,1650.08,500.01,100.00,24467.53,4200.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,600.01,100.00,6351.23,0.00,0.00,0.00,0.00,650.01,0.00,3050.30,400.01,0.00,0.00
20.4349,3700.38,0.00,2050.12,50.00,1050.03,6751.28,1200.04,1300.05,250.00,4000.46,100.00,0.00,4000.46,2300.15,34584.40,0.00,0.00,500.01,1500.07,850.02,400.00,23716.47,4100.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,150.00,7001.49,0.00,0.00,0.00,0.00,550.01,0.00,2400.19,500.01,0.00,0.00
21.4559,3900.42,0.00,1400.05,250.00,1250.04,8401.99,1350.05,1000.03,300.00,4050.47,0.00,0.00,4250.52,1550.07,35536.32,0.00,50.00,500.01,1550.07,700.01,200.00,23416.05,4450.58,9452.63,288029.16,271004.91,14306.08,0.00,1550.07,450.01,700.01,184927.81,576804.99,148972.29,41051.45,1763172.70,9240967.39,250.00,2800.25,5951.14,855081.17,33937.19,30781.10,9502.98
22.4768,34883.63,0.00,2003420.94,20525075.46,27563350.62,6250240.37,53380.27,104306.83,138040.79,1925850.82,157707.75,73303.77,77622.54,354478.43,48939785.47,5550.89,9252.47,6872918.90,111911.73,65373.80,25519.02,22765.18,16257.75,35938.00,186268.97,132466.96,4150.51,0.00,200.00,100.00,500.01,33934.77,94570.13,26421.23,5801.03,189586.22,1767454.92,50.00,1950.12,800.02,172354.14,9502.92,5250.91,3700.45
23.4988,11703.79,0.00,883799.82,7593696.26,8310450.19,3001617.45,11603.80,23365.43,56741.59,1121607.54,26369.86,13755.42,40497.02,132603.93,18136525.41,2300.15,2750.22,1889945.94,35386.24,19210.71,11153.63,21163.12,10453.20,21063.07,109452.63,74162.31,2250.15,0.00,250.00,50.00,400.00,29776.77,68692.64,19411.46,4000.49,189494.62,1066903.05,150.00,1350.06,750.02,145026.18,9653.01,2150.15,1950.13
24.5197,12304.19,0.00,768759.05,8316153.31,7633373.61,3046636.01,5250.78,18009.17,69989.30,1504826.99,23065.20,10853.38,22464.47,108336.62,6943568.91,3350.32,2300.15,1576945.74,28323.23,18710.16,3100.28,21763.87,7351.58,13855.66,83153.69,73258.39,1200.04,0.00,50.00,100.00,100.00,17108.84,33233.42,13755.76,4200.54,104030.76,637999.82,0.00,1000.03,950.03,131304.51,9502.92,2050.14,2750.25
